ID Employé: 3 | ID Consommable: 36 | Quantité: 5 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 29 | Quantité: 5 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 38 | Quantité: 9 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 36 | Quantité: 5 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 29 | Quantité: 5 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 38 | Quantité: 9 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 36 | Quantité: 5 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 29 | Quantité: 5 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 38 | Quantité: 9 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 37 | Quantité: 11 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 4 | Quantité: 12 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 11 | Quantité: 5 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 26 | Quantité: 8 | Date: 04/05/2024
ID Employé: 4 | ID Consommable: 1 | Quantité: 38 | Date: 04/05/2024
ID Employé: 4 | ID Consommable: 5 | Quantité: 50 | Date: 04/05/2024
ID Employé: 1 | ID Consommable: 1 | Quantité: 100 | Date: 04/05/2024
ID Employé: 1 | ID Consommable: 2 | Quantité: 10 | Date: 04/05/2024
ID Employé: 1 | ID Consommable: 3 | Quantité: 40 | Date: 04/05/2024
ID Employé: 1 | ID Consommable: 4 | Quantité: 10 | Date: 04/05/2024
ID Employé: 2 | ID Consommable: 1 | Quantité: 10 | Date: 04/05/2024
ID Employé: 2 | ID Consommable: 2 | Quantité: 2 | Date: 04/05/2024
ID Employé: 2 | ID Consommable: 8 | Quantité: 15 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 1 | Quantité: 10 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 2 | Quantité: 20 | Date: 04/05/2024
ID Employé: 3 | ID Consommable: 3 | Quantité: 5 | Date: 04/05/2024
